,date,death,deathIncrease,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCumulative,onVentilatorCurrently,positive,positiveIncrease,recovered,states,totalTestResults,totalTestResultsIncrease
0,2020-12-11,287058.0,2749,33237.0,21010.0,5444,108108.0,608998.0,168637806,1449905,3424.0,7489.0,15592946,232105,6135314.0,56,215110717,2094901
1,2020-12-10,284309.0,3115,32919.0,21023.0,4335,107276.0,603554.0,167187901,1339749,3394.0,7442.0,15360841,215669,5985047.0,56,213015816,1954686
2,2020-12-09,281194.0,3170,32720.0,20906.0,5424,106705.0,599219.0,165848152,1276606,3376.0,7624.0,15145172,211020,5891885.0,56,211061130,1822067
3,2020-12-08,278024.0,2697,32406.0,20483.0,4309,104623.0,593795.0,164571546,1192820,3359.0,7245.0,14934152,215335,5788509.0,56,209239063,1628432
4,2020-12-07,275327.0,1297,32120.0,20098.0,3614,102148.0,589486.0,163378726,1386381,3328.0,7073.0,14718817,180219,5714557.0,56,207610631,1772911
5,2020-12-06,274030.0,1145,31946.0,20145.0,2311,101501.0,585872.0,161992345,1175503,3322.0,7095.0,14538598,177812,5624609.0,56,205837720,1660728
6,2020-12-05,272885.0,2480,31831.0,19947.0,3457,101192.0,583561.0,160816842,1530133,3321.0,7006.0,14360786,212940,5576152.0,56,204176992,2231784
7,2020-12-04,270405.0,2573,31608.0,19858.0,4652,101276.0,580104.0,159286709,1260657,3305.0,6999.0,14147846,224878,5470389.0,56,201945208,1880479
8,2020-12-03,267832.0,2825,31276.0,19723.0,5331,100755.0,575452.0,158026052,1238465,3280.0,6867.0,13922968,210251,5404018.0,56,200064729,1862081
9,2020-12-02,265007.0,2804,31038.0,19680.0,5028,100322.0,570121.0,156787587,982032,3252.0,6855.0,13712717,195867,5322128.0,56,198202648,1496688
10,2020-12-01,262203.0,2506,30749.0,19295.0,5222,98777.0,565093.0,155805555,1941714,3223.0,6649.0,13516850,176816,5226581.0,56,196705960,1444608
11,2020-11-30,259697.0,1035,30469.0,18801.0,3394,96149.0,559871.0,153863841,1219808,3205.0,6520.0,13340034,147588,5146643.0,56,195261352,1619461
12,2020-11-29,258662.0,823,30274.0,18437.0,2429,93357.0,556477.0,152644033,883148,3184.0,6245.0,13192446,135244,5065148.0,56,193641891,1298270
13,2020-11-28,257839.0,1251,30109.0,18249.0,3404,91762.0,554048.0,151760885,1276935,3179.0,6148.0,13057202,154614,5024447.0,56,192343621,1739550
14,2020-11-27,256588.0,1392,29858.0,18061.0,3499,89950.0,550644.0,150483950,1504431,3171.0,6030.0,12902588,193686,4947446.0,56,190604071,2131470
15,2020-11-26,255196.0,1387,29673.0,18019.0,2247,90564.0,547145.0,148979519,850418,3153.0,5986.0,12708902,126378,4871312.0,56,188472601,1218302
16,2020-11-25,253809.0,2280,29540.0,17740.0,4568,90041.0,544898.0,148129101,1160187,3147.0,5990.0,12582524,183736,4835956.0,56,187254299,1772851
17,2020-11-24,251529.0,2106,29245.0,17314.0,4591,88174.0,540330.0,146968914,1353678,3123.0,5630.0,12398788,167076,4696996.0,56,185481448,1850973
18,2020-11-23,249423.0,858,28990.0,17080.0,2985,85979.0,535739.0,145615236,1347659,3106.0,5458.0,12231712,150956,4633600.0,56,183630475,1770734
19,2020-11-22,248565.0,917,28828.0,16411.0,2291,83882.0,532754.0,144267577,1254291,3094.0,5233.0,12080756,150878,4526635.0,56,181859741,1759793
20,2020-11-21,247648.0,1554,28693.0,16264.0,3340,83346.0,530463.0,143013286,1429877,3087.0,5103.0,11929878,179763,4529788.0,56,180099948,2046159
21,2020-11-20,246094.0,1894,28472.0,16138.0,3891,82279.0,527123.0,141583409,1389889,3078.0,5055.0,11750115,192830,4457930.0,56,178053789,1957210
22,2020-11-19,244200.0,2020,28216.0,15763.0,4420,80682.0,523232.0,140193520,1286682,3052.0,4859.0,11557285,182903,4410709.0,56,176096579,1865051
23,2020-11-18,242180.0,1882,27989.0,15558.0,4384,79517.0,518812.0,138906838,1074535,3024.0,4701.0,11374382,164050,4348089.0,56,174231528,1582822
24,2020-11-17,240298.0,1562,27681.0,15018.0,3812,77079.0,514428.0,137832303,1092466,3004.0,4379.0,11210332,156779,4292094.0,56,172648706,1547618
25,2020-11-16,238736.0,609,27437.0,14494.0,3033,73377.0,510616.0,136739837,1103588,2988.0,4166.0,11053553,148868,4242683.0,56,171101088,1498258
26,2020-11-15,238127.0,708,27269.0,13849.0,1868,70202.0,507583.0,135636249,1162588,2975.0,3939.0,10904685,144468,4183378.0,56,169602830,1632584
27,2020-11-14,237419.0,1352,27172.0,13491.0,3424,69588.0,505715.0,134473661,1174745,2972.0,3945.0,10760217,163597,4146419.0,56,167970246,1689149
28,2020-11-13,236067.0,1304,26997.0,13279.0,3686,68599.0,502291.0,133298916,1237358,2967.0,3769.0,10596620,172177,4093148.0,56,166281097,1730806
29,2020-11-12,234763.0,1111,26803.0,12911.0,3551,67233.0,498605.0,132061558,970746,2954.0,3622.0,10424443,152047,4049143.0,56,164550291,1497859
30,2020-11-11,233652.0,1579,26584.0,12625.0,3275,65557.0,495054.0,131090812,1019608,2947.0,3367.0,10272396,144882,3995023.0,56,163052432,1457216
31,2020-11-10,232073.0,1357,26335.0,12071.0,4033,62138.0,491779.0,130071204,941989,2922.0,3201.0,10127514,131250,3959700.0,56,161595216,1279671
32,2020-11-09,230716.0,580,26087.0,11638.0,2261,59394.0,487746.0,129129215,1222538,2907.0,3110.0,9996264,119434,3926618.0,56,160315545,1526713
33,2020-11-08,230136.0,501,25819.0,11223.0,1467,56942.0,485485.0,127906677,921930,2900.0,2977.0,9876830,110306,3879255.0,56,158788832,1266926
34,2020-11-07,229635.0,1132,25721.0,11215.0,2297,56037.0,484018.0,126984747,984190,2898.0,2947.0,9766524,129266,3849345.0,56,157521906,1438200
35,2020-11-06,228503.0,1186,25498.0,11213.0,3143,54949.0,481721.0,126000557,1134534,2885.0,2850.0,9637258,125798,3808730.0,56,156083706,1593285
36,2020-11-05,227317.0,1155,25276.0,11046.0,2541,53465.0,478578.0,124866023,1183658,2872.0,2877.0,9511460,116479,3779523.0,56,154490421,1596467
37,2020-11-04,226162.0,1126,25041.0,10892.0,3114,52166.0,476037.0,123682365,869801,2853.0,2832.0,9394981,103363,3741442.0,56,152893954,1257102
38,2020-11-03,225036.0,1525,24796.0,10530.0,3115,50512.0,472923.0,122812564,840052,2833.0,2733.0,9291618,86715,3702925.0,56,151636852,1159145
39,2020-11-02,223511.0,474,24560.0,9970.0,1446,48773.0,469808.0,121972512,1070761,2809.0,2637.0,9204903,82042,3672742.0,56,150477707,1336795
40,2020-11-01,223037.0,398,24457.0,9665.0,1166,47615.0,468362.0,120901751,814184,2797.0,2553.0,9122861,73872,3631622.0,56,149140912,1135555
41,2020-10-31,222639.0,970,24375.0,9613.0,2082,47486.0,467196.0,120087567,1044004,2786.0,2502.0,9048989,90613,3610296.0,56,148005357,1422244
42,2020-10-30,221669.0,947,24230.0,9549.0,2401,46856.0,465114.0,119043563,975456,2776.0,2477.0,8958376,97263,3576201.0,56,146583113,1388573
43,2020-10-29,220722.0,1055,24082.0,9320.0,2334,46220.0,462713.0,118068107,1009397,2760.0,2403.0,8861113,88728,3552166.0,56,145194540,1354648
44,2020-10-28,219667.0,1045,23883.0,9134.0,2464,45205.0,460379.0,117058710,802924,2744.0,2347.0,8772385,78793,3515953.0,56,143839892,1128640
45,2020-10-27,218622.0,929,23701.0,8997.0,2253,44392.0,457915.0,116255786,807350,2719.0,2287.0,8693592,72097,3485474.0,56,142711252,1097470
46,2020-10-26,217693.0,399,23542.0,8942.0,1754,43005.0,455662.0,115448436,983843,2703.0,2301.0,8621495,62535,3458204.0,56,141613782,1215005
47,2020-10-25,217294.0,387,23420.0,8590.0,1076,41883.0,453908.0,114464593,900533,2693.0,2176.0,8558960,64897,3420713.0,56,140398777,1197113
48,2020-10-24,216907.0,897,23356.0,8675.0,1793,42087.0,452832.0,113564060,961392,2691.0,2230.0,8494063,83319,3404503.0,56,139201664,1341535
49,2020-10-23,216010.0,941,23221.0,8340.0,15071,41617.0,451039.0,112602668,1042591,2679.0,2180.0,8410744,82342,3373284.0,56,137860129,1404686
50,2020-10-22,215069.0,1126,23018.0,8178.0,2496,41125.0,435968.0,111560077,917807,2641.0,2147.0,8328402,73003,3350982.0,56,136455443,1255490
51,2020-10-21,213943.0,1025,22855.0,8291.0,2131,40397.0,433472.0,110642270,690570,2622.0,2090.0,8255399,60980,3321258.0,56,135199953,965947
52,2020-10-20,212918.0,830,22662.0,8213.0,2265,39406.0,431341.0,109951700,756578,2593.0,2045.0,8194419,60569,3293315.0,56,134234006,978137
53,2020-10-19,212088.0,451,22475.0,8069.0,1666,37954.0,429076.0,109195122,1024097,2577.0,1800.0,8133850,57108,3270429.0,56,133255869,1142014
54,2020-10-18,211637.0,402,22391.0,7383.0,813,36536.0,427410.0,108171025,765614,2557.0,1762.0,8076742,48280,3231947.0,56,132113855,1058711
55,2020-10-17,211235.0,777,22320.0,7466.0,1528,37474.0,426597.0,107405411,965151,2553.0,1791.0,8028462,57355,3218561.0,56,131055144,1313446
56,2020-10-16,210458.0,894,22202.0,7328.0,1864,37470.0,425069.0,106440260,970366,2547.0,1739.0,7971107,68265,3195422.0,56,129741698,1252025
57,2020-10-15,209564.0,928,22051.0,7302.0,1999,37420.0,423205.0,105469894,851903,2531.0,1769.0,7902842,63384,3175500.0,56,128489673,1131020
58,2020-10-14,208636.0,798,21889.0,7239.0,2455,37176.0,421206.0,104617991,621162,2516.0,1776.0,7839458,56078,3153746.0,56,127358653,1060101
59,2020-10-13,207838.0,724,21735.0,7096.0,2008,36161.0,418751.0,103996829,858966,2485.0,1755.0,7783380,48576,3122531.0,56,126298552,1074766
60,2020-10-12,207114.0,285,21625.0,6866.0,1169,35156.0,416743.0,103137863,882966,2464.0,1666.0,7734804,42645,3104644.0,56,125223786,1062196
61,2020-10-11,206829.0,469,21553.0,6749.0,981,34609.0,415574.0,102254897,802045,2454.0,1646.0,7692159,46268,3072920.0,56,124161590,1082128
62,2020-10-10,206360.0,690,21512.0,6752.0,1472,34700.0,414593.0,101452852,961538,2451.0,1667.0,7645891,57424,3061045.0,56,123079462,1265260
63,2020-10-09,205670.0,905,21389.0,6785.0,1727,34989.0,413121.0,100491314,948103,2437.0,1655.0,7588467,56790,3037145.0,56,121814202,1219105
64,2020-10-08,204765.0,988,21217.0,6694.0,2131,34446.0,411394.0,99543211,884499,2427.0,1638.0,7531677,55204,3019299.0,56,120595097,1173237
65,2020-10-07,203777.0,922,21112.0,6575.0,2140,33584.0,409263.0,98658712,731540,2410.0,1646.0,7476473,50588,2997942.0,56,119421860,999154
66,2020-10-06,202855.0,622,20973.0,6502.0,-768,32720.0,407123.0,97927172,716607,2388.0,1609.0,7425885,38917,2950348.0,56,118422706,932914
67,2020-10-05,202233.0,330,20812.0,6287.0,1486,31434.0,407891.0,97210565,844187,2370.0,1515.0,7386968,37756,2933035.0,56,117489792,995060
68,2020-10-04,201903.0,373,20729.0,6056.0,663,30063.0,406405.0,96366378,823033,2362.0,1485.0,7349212,37982,2909644.0,56,116494732,1033879
69,2020-10-03,201530.0,743,20686.0,6073.0,1083,30209.0,405742.0,95543345,844923,2358.0,1501.0,7311230,50937,2895307.0,56,115460853,1113384
