date,inIcuCumulative,inIcuCurrently,hospitalizedIncrease,hospitalizedCurrently,hospitalizedCumulative,negative,negativeIncrease,onVentilatorCurrently,positive,positiveIncrease,recovered,totalTestResults,totalTestResultsIncrease
2020-03-26,91.0,1299.0,2478,7805.0,9551.0,509372,85360,258.0,92974,17731,97.0,670724,107120
2020-03-27,124.0,1792.0,2572,10978.0,12123.0,591608,82236,324.0,112220,19246,2418.0,771317,100593
2020-03-28,140.0,2174.0,2409,12409.0,14532.0,696075,104467,390.0,131822,19602,3145.0,879496,108179
2020-03-29,156.0,2456.0,2794,14055.0,17326.0,764825,68750,439.0,151270,19448,4076.0,962165,82669
2020-03-30,187.0,3087.0,2472,15917.0,19798.0,853147,88322,451.0,172737,21467,4560.0,1069076,106911
2020-03-31,230.0,3487.0,3998,18155.0,23796.0,941389,88242,507.0,197924,25187,5666.0,1183973,114897
2020-04-01,256.0,3937.0,4134,20906.0,27930.0,1028082,86693,561.0,224039,26115,7084.0,1302177,118204
2020-04-02,305.0,4513.0,4198,22997.0,32128.0,1127354,99272,574.0,252081,28042,8586.0,1431542,129365
2020-04-03,335.0,4928.0,4603,25777.0,36731.0,1231890,104536,623.0,283917,31836,10861.0,1572257,140715
2020-04-04,403.0,5500.0,5012,30268.0,41743.0,1428863,196973,656.0,316810,32893,12844.0,1804491,232234
2020-04-05,609.0,5811.0,3937,32180.0,45680.0,1521226,92363,652.0,342444,25634,14589.0,1924137,119646
2020-04-06,663.0,7079.0,2943,36159.0,48623.0,1635403,114177,2961.0,370869,28425,16557.0,2063868,139731
2020-04-07,738.0,9978.0,2997,43849.0,51620.0,1764612,129209,4076.0,401572,30703,18481.0,2229330,165462
2020-04-08,862.0,10337.0,4321,45515.0,55941.0,1886909,122297,4131.0,432490,30918,21132.0,2392703,163373
2020-04-09,918.0,12450.0,3831,51313.0,59772.0,2026678,139769,5794.0,467580,35090,24835.0,2567008,174305
2020-04-10,1179.0,12693.0,4909,53167.0,64681.0,2145322,118644,5937.0,501069,33489,29015.0,2725733,158725
2020-04-11,1399.0,13285.0,3747,55557.0,68428.0,2260983,115661,5978.0,532174,31105,31567.0,2872471,146738
2020-04-12,1449.0,13620.0,3331,55449.0,71759.0,2372489,111506,5968.0,560175,28001,34081.0,3010819,138348
2020-04-13,1622.0,13620.0,4480,56237.0,76239.0,2473453,100964,6168.0,584573,24398,35381.0,3135241,124422
2020-04-14,1715.0,14039.0,3174,59600.0,79413.0,2595781,122328,5975.0,610651,26078,39304.0,3294008,158767
2020-04-15,1783.0,14646.0,3510,59924.0,82923.0,2708822,113041,6032.0,640510,29859,43448.0,3446507,152499
2020-04-16,1834.0,15130.0,3165,59498.0,86088.0,2848621,139799,5940.0,672087,31577,48851.0,3628705,182198
